id,hands,deltarank,deltaage,matchresult
94,1.0,-3.0,-7.915126625600003,0.0
95,0.0,49.0,-8.309377138999999,1.0
96,0.0,-9.0,-8.2847364818,0.0
97,1.0,-209.0,3.5318275154,1.0
99,1.0,26.0,4.2080766598,1.0
100,1.0,-43.0,-9.817932922699999,1.0
101,1.0,-29.0,7.011635865900001,1.0
102,1.0,18.0,-9.144421629,0.0
103,0.0,12.0,-8.966461327900003,1.0
104,0.0,13.0,-7.742642025999999,1.0
105,0.0,-15.0,2.1902806296999984,1.0
106,1.0,-29.0,2.8637919233999973,1.0
107,1.0,-23.0,-5.9493497604000005,0.0
108,1.0,212.0,-5.166324435299998,1.0
109,1.0,1.0,5.363449691900001,0.0
110,1.0,-12.0,-0.060232717299999905,1.0
111,1.0,10.0,-1.5386721423999994,0.0
112,1.0,163.0,3.9315537303000028,0.0
113,1.0,-73.0,-0.6516084874000008,1.0
114,1.0,1.0,0.22450376460000143,1.0
115,1.0,-4.0,2.8008213552,1.0
116,0.0,48.0,-9.3305954826,1.0
117,1.0,-61.0,5.623545516699998,0.0
118,1.0,-15.0,-7.4113620808,1.0
119,0.0,-135.0,-7.589322381900001,1.0
120,0.0,46.0,-9.297741273099998,0.0
121,1.0,-46.0,11.373032169800002,0.0
122,1.0,26.0,4.410677618099999,0.0
123,1.0,51.0,-1.7330595482,1.0
124,1.0,-22.0,7.069130732399998,1.0
125,1.0,-27.0,-10.036960985600004,1.0
126,0.0,-120.0,2.6995208760999994,0.0
127,1.0,74.0,8.5475701574,0.0
128,0.0,-23.0,6.2559890485999965,1.0
129,1.0,36.0,-7.830253251200002,1.0
130,1.0,-6.0,-11.6550308009,0.0
131,1.0,-4.0,-2.1273100615999994,1.0
132,1.0,55.0,-4.1752224504,0.0
133,1.0,-55.0,0.7392197124999988,0.0
134,1.0,23.0,0.3641341547000003,1.0
135,1.0,-18.0,3.2306639287999985,1.0
136,1.0,-37.0,6.3627652293000025,1.0
137,1.0,-57.0,2.6420260095999986,1.0
138,0.0,-504.0,-12.637919233400002,1.0
139,0.0,23.0,-1.2950034223000024,1.0
140,0.0,-33.0,9.133470225899998,0.0
141,1.0,-10.0,7.7645448323,1.0
142,0.0,37.0,-13.166324435300002,1.0
143,0.0,27.0,15.394934976000002,0.0
144,1.0,-23.0,0.10130047910000073,1.0
145,1.0,49.0,-9.702943189600003,0.0
146,1.0,44.0,0.8021902806000014,1.0
147,0.0,49.0,5.6728268309,1.0
148,1.0,-43.0,1.5742642025999984,1.0
149,1.0,-31.0,-6.934976043799999,0.0
150,0.0,62.0,-5.062286105399998,0.0
151,1.0,-15.0,-10.880219028099997,1.0
152,1.0,81.0,-6.2368240931000045,0.0
153,0.0,19.0,5.735797399099997,0.0
155,0.0,2.0,-4.342231348399999,0.0
156,1.0,-28.0,0.635181382599999,0.0
157,1.0,18.0,1.7577002053000008,0.0
158,1.0,180.0,-8.574948665299999,0.0
159,1.0,24.0,1.2292950034000008,1.0
160,0.0,-55.0,12.273785078699998,1.0
161,0.0,41.0,4.353182751499997,1.0
162,1.0,16.0,-4.405201916500001,0.0
163,1.0,,3.7645448323999986,0.0
164,1.0,-24.0,-5.379876796700003,1.0
165,0.0,11.0,0.4900752909000019,1.0
166,1.0,-88.0,1.2320328541999999,0.0
167,0.0,4.0,-7.2525667351,1.0
168,1.0,1.0,5.785078713200001,0.0
169,1.0,-11.0,-10.874743326499999,0.0
170,1.0,-3.0,6.286105407300003,1.0
171,1.0,29.0,7.6249144422000015,1.0
172,1.0,2.0,-3.627652292899999,0.0
173,1.0,92.0,4.725530458599998,1.0
174,1.0,30.0,-0.4572210814999984,1.0
175,1.0,-5.0,-7.006160164300002,1.0
176,1.0,-5.0,6.869267624900001,0.0
177,1.0,88.0,-4.161533196400004,1.0
178,0.0,-54.0,-7.1813826146,0.0
179,1.0,-12.0,5.237508555800002,1.0
180,1.0,8.0,12.062970568099999,0.0
181,1.0,9.0,1.0677618070000001,1.0
182,1.0,9.0,-0.5010266941000019,0.0
183,1.0,-60.0,6.0041067762,0.0
184,1.0,-4.0,0.07939767290000077,1.0
185,1.0,-234.0,-11.939767282699997,0.0
186,1.0,-18.0,-0.6078028747000026,0.0
187,0.0,13.0,-2.981519507200005,0.0
188,0.0,-25.0,8.8980150581,1.0
189,1.0,-13.0,-2.1300479123999985,1.0
190,1.0,17.0,9.106091717999998,1.0
